,tickerlist,invest_grades,timestamps,past_price,current_price
608,CBAN,,,,
609,CBAT,,,,
610,CBAY,,,,
611,CBFV,,,,
612,CBIO,,,,
613,CBLI,,,,
614,CBMB,,,,
615,CBMG,,,,
616,CBNK,,,,
617,CBPO,,,,
618,CBRL,,,,
619,CBSH,,,,
620,CBTX,,,,
621,CCAP,,,,
622,CCB,,,,
623,CCBG,,,,
624,CCCC,,,,
625,CCD,,,,
626,CCLP,,,,
627,CCMP,,,,
628,CCNC,,,,
629,CCNE,,,,
630,CCNEP,,,,
631,CCOI,,,,
632,CCRC,,,,
633,CCRN,,,,
634,CCXI,,,,
635,CD,,,,
636,CDAK,,,,
637,CDC,,,,
638,CDEV,,,,
639,CDK,,,,
640,CDL,,,,
641,CDLX,,,,
642,CDMO,,,,
643,CDMOP,,,,
644,CDNA,,,,
645,CDNS,,,,
646,CDTX,,,,
647,CDW,,,,
648,CDXC,,,,
649,CDXS,,,,
650,CDZI,,,,
651,CECE,,,,
652,CEFA,,,,
653,CELC,,,,
654,CELH,,,,
655,CEMI,,,,
656,CENT,,,,
657,CENTA,,,,
658,CENX,,,,
659,CERC,,,,
660,CERE,,,,
661,CEREW,,,,
662,CERN,,,,
663,CERS,,,,
664,CETX,,,,
665,CETXP,,,,
666,CETXW,,,,
667,CEVA,,,,
668,CEY,,,,
669,CEZ,,,,
670,CFA,,,,
671,CFACU,,,,
672,CFB,,,,
673,CFBI,,,,
674,CFBK,,,,
675,CFFI,,,,
676,CFFN,,,,
677,CFII,,,,
678,CFIIU,,,,
679,CFIIW,,,,
680,CFMS,,,,
681,CFO,,,,
682,CFRX,,,,
683,CG,,,,
684,CGBD,,,,
685,CGC,,,,
686,CGEN,,,,
687,CGIX,,,,
688,CGNX,,,,
689,CGO,,,,
690,CGRO,,,,
691,CGROU,,,,
692,CGROW,,,,
693,CHB,,,,
694,CHCI,,,,
695,CHCO,,,,
696,CHDN,,,,
697,CHEF,,,,
698,CHEK,,,,
699,CHEKZ,,,,
700,CHFS,,,,
701,CHI,,,,
702,CHKP,,,,
703,CHMA,,,,
704,CHMG,,,,
705,CHNA,,,,
706,CHNG,,,,
707,CHNGU,,,,
708,CHNR,,,,
709,CHPM,,,,
710,CHPMU,,,,
711,CHPMW,,,,
712,CHRS,,,,
713,CHRW,,,,
714,CHSCL,,,,
715,CHSCM,,,,
716,CHSCN,,,,
717,CHSCO,,,,
718,CHSCP,,,,
719,CHTR,,,,
720,CHUY,,,,
721,CHW,,,,
722,CHY,,,,
723,CIBR,,,,
724,CID,,,,
725,CIDM,,,,
726,CIGI,,,,
727,CIH,,,,
728,CIIC,,,,
729,CIICU,,,,
730,CIICW,,,,
731,CIL,,,,
732,CINF,,,,
733,CIVB,,,,
734,CIZ,,,,
735,CIZN,,,,
736,CJJD,,,,
737,CKPT,,,,
738,CLAR,,,,
739,CLBK,,,,
740,CLBS,,,,
741,CLCT,,,,
742,CLDB,,,,
743,CLDX,,,,
744,CLEU,,,,
745,CLFD,,,,
746,CLGN,,,,
747,CLIR,,,,
748,CLLS,,,,
749,CLMT,,,,
750,CLNE,,,,
751,CLOU,,,,
752,CLPS,,,,
753,CLPT,,,,
754,CLRB,,,,
755,CLRBZ,,,,
756,CLRG,,,,
757,CLRO,,,,
758,CLSD,,,,
759,CLSK,,,,
760,CLSN,,,,
761,CLVS,,,,
762,CLWT,,,,
763,CLXT,,,,
764,CMBM,,,,
765,CMCO,,,,
766,CMCSA,,,,
767,CMCT,,,,
768,CMCTP,,,,
769,CME,,,,
770,CMFNL,,,,
771,CMLF,,,,
772,CMLFU,,,,
773,CMLFW,,,,
774,CMLS,,,,
775,CMPI,,,,
776,CMPR,,,,
777,CMPS,,,,
778,CMRX,,,,
779,CMTL,,,,
780,CNBKA,,,,
781,CNCE,,,,
782,CNCR,,,,
783,CNDT,,,,
784,CNET,,,,
785,CNFR,,,,
786,CNFRL,,,,
787,CNNB,,,,
788,CNOB,,,,
789,CNSL,,,,
790,CNSP,,,,
791,CNST,,,,
792,CNTG,,,,
793,CNTY,,,,
794,CNXCV,,,,
795,CNXN,,,,
796,COCP,,,,
797,CODA,,,,
798,CODX,,,,
799,COFS,,,,
800,COGT,,,,
801,COHR,,,,
802,COHU,,,,
803,COKE,,,,
804,COLB,,,,
805,COLL,,,,
806,COLM,,,,
807,COMM,,,,
808,COMT,,,,
809,CONE,,,,
810,CONN,,,,
811,CONXU,,,,
812,COOP,,,,
813,CORE,,,,
814,CORT,,,,
815,COST,,,,
816,COUP,,,,
817,COWN,,,,
818,COWNL,,,,
819,COWNZ,,,,
820,CPAH,,,,
821,CPHC,,,,
822,CPIX,,,,
823,CPLP,,,,
824,CPRT,,,,
825,CPRX,,,,
826,CPSH,,,,
827,CPSI,,,,
828,CPSS,,,,
829,CPST,,,,
830,CPTA,,,,
831,CPTAG,,,,
832,CPTAL,,,,
833,CPZ,,,,
834,CRAI,,,,
835,CRBP,,,,
836,CRDF,,,,
837,CREE,,,,
838,CREG,,,,
839,CRESY,,,,
840,CREX,,,,
841,CREXW,,,,
842,CRIS,,,,
843,CRMT,,,,
844,CRNC,,,,
845,CRNT,,,,
846,CRNX,,,,
847,CRON,,,,
848,CROX,,,,
849,CRSA,,,,
850,CRSAU,,,,
851,CRSAW,,,,
852,CRSP,,,,
853,CRSR,,,,
854,CRTD,,,,
855,CRTDW,,,,
856,CRTO,,,,
857,CRTX,,,,
858,CRUS,,,,
859,CRVL,,,,
860,CRVS,,,,
861,CRWD,,,,
862,CRWS,,,,
863,CSA,,,,
864,CSB,,,,
865,CSBR,,,,
866,CSCO,,,,
867,CSCW,,,,
868,CSF,,,,
869,CSGP,,,,
870,CSGS,,,,
871,CSII,,,,
872,CSIQ,,,,
873,CSML,,,,
874,CSOD,,,,
875,CSPI,,,,
876,CSQ,,,,
877,CSSE,,,,
878,CSSEN,,,,
879,CSSEP,,,,
880,CSTE,,,,
881,CSTL,,,,
882,CSTR,,,,
883,CSWC,,,,
884,CSWCL,,,,
885,CSWI,,,,
886,CSX,,,,
887,CTAS,,,,
888,CTBI,,,,
889,CTEC,,,,
890,CTG,,,,
891,CTHR,,,,
892,CTIB,,,,
893,CTIC,,,,
894,CTMX,,,,
895,CTRE,,,,
896,CTRM,,,,
897,CTRN,,,,
898,CTSH,,,,
899,CTSO,,,,
900,CTXR,,,,
901,CTXRW,,,,
902,CTXS,,,,
903,CUBA,,,,
904,CUE,,,,
905,CURI,,,,
906,CURIW,,,,
907,CUTR,,,,
908,CVAC,,,,
909,CVBF,,,,
910,CVCO,,,,
911,CVCY,,,,
912,CVET,,,,
913,CVGI,,,,
914,CVGW,,,,
915,CVLG,,,,
916,CVLT,,,,
917,CVLY,,,,
918,CVV,,,,
919,CWBC,,,,
920,CWBR,,,,
921,CWCO,,,,
922,CWST,,,,
923,CXDC,,,,
924,CXDO,,,,
925,CXSE,,,,
926,CYAD,,,,
927,CYAN,,,,
928,CYBE,,,,
929,CYBR,,,,
930,CYCC,,,,
931,CYCCP,,,,
932,CYCN,,,,
933,CYRN,,,,
934,CYRX,,,,
935,CYTK,,,,
936,CZNC,,,,
937,CZR,,,,
938,CZWI,,,,
939,DADA,,,,
940,DAIO,,,,
941,DAKT,,,,
942,DALI,,,,
943,DARE,,,,
944,DAX,,,,
945,DBDRU,,,,
946,DBVT,,,,
947,DBX,,,,
948,DCOM,,,,
949,DCOMP,,,,
950,DCPH,,,,
951,DCRBU,,,,
952,DCT,,,,
953,DCTH,,,,
954,DDIV,,,,
955,DDOG,,,,
956,DEMZ,,,,
957,DENN,,,,
958,DFFN,,,,
959,DFHT,,,,
960,DFHTU,,,,
961,DFHTW,,,,
962,DFNL,,,,
963,DFPH,,,,
964,DFPHU,,,,
965,DFPHW,,,,
966,DGICA,,,,
967,DGICB,,,,
968,DGII,,,,
969,DGLY,,,,
970,DGNS,,,,
971,DGRE,,,,
972,DGRS,,,,
973,DGRW,,,,
974,DHC,,,,
975,DHCNI,,,,
976,DHCNL,,,,
977,DHIL,,,,
978,DINT,,,,
979,DIOD,,,,
980,DISCA,,,,
981,DISCB,,,,
982,DISCK,,,,
983,DISH,,,,
984,DJCO,,,,
985,DKNG,,,,
986,DLHC,,,,
987,DLPN,,,,
988,DLPNW,,,,
989,DLTH,,,,
990,DLTR,,,,
991,DMAC,,,,
992,DMLP,,,,
993,DMRC,,,,
994,DMTK,,,,
995,DMXF,,,,
996,DNKN,,,,
997,DNLI,,,,
998,DOCU,,,,
999,DOGZ,,,,
1000,DOMO,,,,
1001,DOOO,,,,
1002,DORM,,,,
1003,DOX,,,,
1004,DOYU,,,,
1005,DRAD,,,,
1006,DRADP,,,,
1007,DRIO,,,,
1008,DRIOW,,,,
1009,DRIV,,,,
1010,DRNA,,,,
1011,DRRX,,,,
1012,DRTT,,,,
1013,DSACU,,,,
1014,DSGX,,,,
1015,DSKE,,,,
1016,DSKEW,,,,
1017,DSPG,,,,
1018,DSWL,,,,
1019,DTEA,,,,
1020,DTIL,,,,
1021,DTSS,,,,
1022,DUO,,,,
1023,DUOT,,,,
1024,DUSA,,,,
1025,DVAX,,,,
1026,DVLU,,,,
1027,DVOL,,,,
1028,DVY,,,,
1029,DWAS,,,,
1030,DWAT,,,,
1031,DWAW,,,,
1032,DWCR,,,,
1033,DWEQ,,,,
1034,DWFI,,,,
1035,DWLD,,,,
1036,DWMC,,,,
1037,DWPP,,,,
1038,DWSH,,,,
1039,DWSN,,,,
1040,DWUS,,,,
1041,DXCM,,,,
1042,DXGE,,,,
1043,DXJS,,,,
1044,DXLG,,,,
